,date_time,headlines
163,2018-10-24 22:31:40.718,Narrow Margin Picture For Wipro In Q2
164,2018-10-24 08:00:48.214,"Stocks To Watch: Bharti Airtel, Bajaj Auto, ICICI Bank, Kotak Mahindra Bank, Wipro"
165,2018-09-21 14:24:15.658,"Analysts' View on Wipro, Divis Lab, JSPL & More On Hot Money Technicals"
166,2018-09-21 13:33:23.150,Find Out Why Dyaneshwar Is Bullish On Wipro
167,2018-09-17 09:07:18.675,"Stocks To Watch: Kwality, Ircon IPO, REC, Sterlite Tech, Wipro"
168,2018-09-12 07:45:41.140,"Stocks To Watch: HDFC AMC, Sun Pharma, Wipro, Cipla, IndiGo"
169,2018-09-03 11:02:32.064,"Stocks Radar: Wipro, L&T Infotech, Godrej Consumer, Sun Pharma"
170,2018-09-03 08:03:19.167,"Stocks To Watch: L&T, Piramal Enterprises, SBI, Sun Pharma, Wipro"
171,2018-09-02 15:20:33.516,Wipro Bags Deal Over $1.5 Billion From Alight Solutions
172,2018-08-31 12:04:31.801,"Stocks Radar: ICICI Securities, Yes Bank, Wipro, HCC, Idea Cellular"
173,2018-08-06 07:51:39.783,"Stocks to Watch: Adani Ports, Britannia, HDFC AMC’s Debut, ICRA, Wipro"
174,2018-07-23 14:34:36.171,"Q1 Results: Wipro’s Profit Beats Estimates, Margin Expands"
175,2018-07-23 12:09:32.313,"Stocks Radar: Asian Paints, Havells, Jubilant Foodworks, UPL, Wipro"
176,2018-07-23 08:25:40.275," Stocks To Watch: ACC, HDFC Bank, Hindustan Zinc, UPL, Wipro, Just Dial"
177,2018-07-20 22:40:42.456,Wipro Q1 Profit Beats Estimates
178,2018-07-20 18:11:57.425,Wipro To Acquire Alight Solutions’ India Operations For $117 Million
179,2018-07-20 14:33:00.940,"Stocks To Watch: Alembic Pharma, Bajaj Auto, Hatsun Agro Products, JSW Steel, Wipro "
180,2018-06-26 14:59:18.892,"Analysts' View On Buzzing Stocks Like L&T, Cummins India, Wipro & More"
181,2018-06-26 14:10:45.049,Will Wipro Play Catch-Up With Peers?
182,2018-06-25 08:32:30.982,Wipro  CEO’s Pay Package Up 34.5% In 2017-18
183,2018-06-15 08:07:09.963,"Stocks To Watch: ICICI, Punj Lloyd,  Bayer Crop, TNPL, Wipro"
184,2018-04-26 11:03:37.456,"Stocks Radar: Wipro, Reliance Naval & Engineering, Inbdiabulls Real Estate"
185,2018-04-26 09:35:45.079,Wipro’s Profit Declines Due To A Write-Off
186,2018-04-26 09:35:47.866,"Stocks To Watch: Wipro, Kitex, Future Retail, Emami"
187,2018-04-25 23:04:26.744,Wipro’s Profit Declines On Write-Off For Insolvent Client
188,2018-04-25 22:41:17.767,Insolvent Client Costs Wipro
189,2018-04-25 09:03:07.774,Muted Expectations From Wipro In Q4
190,2018-04-24 15:24:39.498,"Analysts' View On Buzzing Stocks Like Wipro, Asian Paints, Oberoi Realty & More On Hot Money With Agam Vakil"
191,2018-04-24 14:46:36.120,Can Wipro Reclaim Its Lost Glory In Q4 Earnings? Find Out On Hot Money
192,2018-04-23 08:32:50.028,"Distributors Locked In Dispute With Wipro Consumer Over Inventory, Damaged Stock"
193,2018-04-10 10:40:36.625,"Stocks Radar: Axis Bank, Future Lifestyle, Wipro, Yes Bank"
194,2018-04-10 08:30:08.915,"Stocks To Watch: Axis Bank, HDFC, Wipro, Dalmia Bharat"
195,2018-04-09 20:48:52.364,Wipro Says Q4 Profit May Be Impacted By Telecom Client’s Insolvency Proceedings
196,2018-03-16 07:48:55.754,"Stocks To Watch: Adani Transmission, Bharat Financial, IDBC Bank, Wipro, Yes Bank"
197,2018-03-15 07:46:31.352,"Stocks To Watch: Havells,  NMDC, Sintex, Wipro"
198,2018-03-13 09:59:48.000,Elliott Buys Tiny Stake in Wipro in First India IT Firm Holding
199,2018-03-08 15:25:53.589,Wipro Investors Have Missed The Bus
200,2018-03-05 07:18:35.911,"Stocks To Watch: Aurobindo Pharma, Coal India, Hero MotoCorp, PNB, Wipro"
201,2018-02-06 17:12:09.269,"Stocks To Watch: Wipro, Jagran Prakashan, Sun Pharma, SpiceJet And More"
202,2018-01-25 07:35:54.332,"Stocks To Watch:  Biocon, Dr. Reddy’s, ONGC, IndiGo, Wipro"
203,2018-01-20 01:31:34.102,Wipro CFO Breaks Down Q3 Performance
204,2018-01-19 19:10:57.845,Wipro Q3 Profit Misses Analyst Estimates
205,2018-01-03 12:30:16.758,"How To Play Infosys, TCS, Wipro In 2018? IDFC Securities Explains"
206,2017-12-22 08:21:27.991,"Stocks To Watch: Canara Bank, HDFC, Navin Fluorine, Wipro"
207,2017-12-02 10:41:18.953,Wipro To Contest $140 Million Lawsuit Filed By National Grid U.S. 
208,2017-11-20 23:33:09.685,"Wipro’s Rs 11,000 Crore Share Buyback To Begin From Nov. 29"
209,2019-08-25 14:21:26.154, From Dieter Zeh To Atul Gawande: A Look At TK Kurien’s Favourite Authors
210,2017-11-05 18:22:07.224,Margins Expand For Wipro In Q2
211,2017-10-18 11:44:05.095,Wipro Gains After Profit Beat; Brokerages Sound Caution On Sales Outlook
212,2017-10-18 09:03:03.973,Wipro Q2 Net Profit In Line With Estimates But Guidance Disappoints
213,2017-10-17 21:10:04.094,Wipro Earnings In Less Than A Minute
214,2017-10-17 07:58:17.062,"Stocks To Watch: ACC, Bajaj Auto,  Reliance Industries, Wipro"
215,2017-08-31 10:45:42.095,"Stocks Radar:  Ajanta Pharma, Reliance Industries, MEP Infra, Wipro"
216,2017-08-30 16:04:07.467,"Wipro Shareholders Approve Rs 11,000-Crore Buyback Proposal"
217,2017-07-21 16:22:01.311,"Wipro Buyback, Reliance Profit Help Nifty Clock Third Weekly Gains"
218,2017-07-21 16:11:37.783,"Stocks Radar: Balaji Telefilms, JP Associates, Reliance Industries, Wipro"
219,2017-07-21 10:53:11.553,"Brokerages Raise Target Price On Wipro Citing Earnings Cheer, Buyback Boost"
220,2017-07-21 09:12:48.125,"

Stocks To Watch: Aban Offshore, JP Associates, Reliance, Wipro"
221,2017-07-21 08:37:38.388,"Wipro Board Approves Rs 11,000-Crore Buyback"
222,2017-07-20 12:04:59.391,"Earnings Today: Bajaj Auto, Hindustan Zinc, Wipro"
223,2017-07-18 08:24:22.000,"India's Sensex Climbs to a Fresh Record as Wipro, Infosys Rise"
224,2017-07-17 18:51:43.874,Wipro Soars On Buyback Plan
225,2017-07-17 10:53:52.479,"Stocks Radar: Alkem Laboratories, Cadila Healthcare, Wipro"
226,2017-07-14 23:27:50.015,Wipro Board To Consider Share Buyback On July 20
227,2017-06-29 00:09:40.450,"Locals Form Over 50% Of Workforce In U.S., Says Wipro"
228,2018-11-23 07:20:25.190,"Bajaj Finance, HCL Tech To Be New Entrants On Sensex From Dec. 24"
229,2017-06-18 13:36:46.048,Wipro Flags Cyber Security Breaches As Potential Risk To Business
230,2017-06-13 10:26:52.634,"Stocks Radar: Reliance Capital, Sical Logistics, Sun Pharma, Wipro"
231,2017-06-13 08:11:21.514,"Stocks To Watch: HPCL, Reliance Capital, Sical Logistics, Wipro"
232,2017-06-12 23:11:10.345,Wipro ADRs Slump On NYSE; Company Clarifies On Bonus Issue 
233,2017-04-26 09:28:02.350,"Wipro Beats Estimates, Fears Slowdown In U.S. Healthcare Business"
234,2017-04-26 08:18:42.409,"Stocks To Watch: Adani Ports & SEZ, IDFC Bank, Wipro"
235,2017-03-14 22:25:17.756,"Tata Steel, Wipro In World’s Most Ethical Companies’ List"
236,2017-03-09 21:13:07.085,Wipro’s Azim Premji Meets IT Minister Over H-1B Visa Concerns
237,2017-03-03 08:43:41.938,"Stocks To Watch: Wipro, Nalco, Hindalco, Apollo Hospitals"
238,2017-03-01 08:52:15.673,"Stocks To Watch: Prism Cement, NHPC, Wipro And More"
239,2017-01-27 11:33:53.335,Brokerages Cut Price Targets Wipro As Outlook Disappoints 
240,2017-01-27 11:10:23.903,"Stocks Radar: Sugar Stocks, Wipro, IDFC Bank And More "
241,2017-01-27 08:11:09.584,Wipro Forecasts Muted Revenue Growth In Q4 Amid Visa Curb Worries
242,2017-01-27 08:06:42.222,"Stocks To Watch: Wipro, Ashok Leyland, ITC And More"
243,2017-01-24 19:26:39.733,Wipro Vice-Chairman TK Kurien To Retire On January 31
244,2017-01-18 07:38:19.878,"Only Localisation Can Counter Adverse Impact Of U.S. Visa Changes, Say Wipro And Tech Mahindra"
245,2017-01-04 03:43:03.000,"Infosys, Wipro Leaders Warn of Challenging Times for Indian IT"
246,2019-09-05 13:33:26.184,"Stocks Radar: Aditya Birla Capital, ICICI Bank, ONGC, Infosys, NMDC"
247,2016-12-23 12:01:30.799,"Stocks Radar: Suzlon, Wipro, Welspun Enterprises And More "
248,2016-12-23 08:09:47.673,"Stocks To Watch: Welspun Enterprises, Suzlon Energy, Wipro And More"
249,2016-12-15 08:17:58.319,"Stocks To Watch: Infosys, Wipro, Mandhana Retail, Ashok Leyland And More"
250,2016-12-02 10:39:42.560,"Stocks Radar: Wipro, Coal India, Tata Motors And More "
251,2016-12-02 08:03:51.184,"Stocks To Watch: Wipro, Coal India, Automakers, Advanced Enzymes And More"
252,2016-12-01 10:04:17.442,"Stocks Radar: HCC, Reliance Communications, Wipro And More"
253,2016-12-01 08:10:32.715,"Stocks To Watch: Wipro, HCC, Indian Oil,  Tata Steel And More"
254,2017-12-04 12:27:33.793,"Stocks Radar: Biocon, Infosys, Tata Motors"
255,2016-10-24 09:59:38.514,"Stocks Radar: Wipro, Idea Cellular, Reliance Industries And More "
256,2016-10-24 08:15:56.362,"Stocks To Watch: Wipro, Mindtree, Cairn India, Idea Cellular And More"
257,2016-10-22 20:03:00.370,"Wipro Beats Street Estimates In Second Quarter, Says Q3 Could Be Better"
258,2016-10-21 09:57:41.727,"Stocks Radar: HCL Technologies, Wipro, Reliance Industries, Yes Bank And More "
